"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","114591","[R1.0]Auto - Web - Activity - Verify functionality of non-media activities","","Wed Apr 09 15:42:35 ICT 2025","passed","Wed Apr 09 15:44:30 ICT 2025","","Activity-ExistingStudy-NewParticipant-Complete-Non-Media - @Regression @R1.0 @Activity","",""
"","93036","[R1.0]Auto - Web - Profile - Verify user can change password","","Wed Apr 09 15:50:23 ICT 2025","passed","Wed Apr 09 15:51:56 ICT 2025","","Profile-ExistingStudy-NewParticipant - @Regression @R1.0 @Profile","",""
"","107983","[R1.0]Auto - Web - Activity - Verify functionality of media activities","","Wed Apr 09 15:42:35 ICT 2025","passed","Wed Apr 09 15:44:23 ICT 2025","","Activity-ExistingStudy-NewParticipant-Complete-Media - @Regression @R1.0 @Activity","",""
"","61510","[R1.0]Auto - Web - Notification - Verify user can receive unscheduled notification","","Wed Apr 09 15:46:02 ICT 2025","passed","Wed Apr 09 15:47:03 ICT 2025","","Notification-ExistingStudy-NewParticipant - @Regression @R1.0 @Notification","",""
"","9038","[R1.0]Auto - Web - Activity - Verify data sync service works properly","","Wed Apr 09 15:44:23 ICT 2025","passed","Wed Apr 09 15:44:32 ICT 2025","","Activity-ExistingStudy-NewParticipant-Complete-Media - @Regression @R1.0 @Activity","",""
"","8916","[R1.0]Auto - Web - Activity - Verify data sync service works properly","","Wed Apr 09 15:44:30 ICT 2025","passed","Wed Apr 09 15:44:39 ICT 2025","","Activity-ExistingStudy-NewParticipant-Complete-Non-Media - @Regression @R1.0 @Activity","",""
"","106429","[R1.0]Auto - Mobile - Dashboard - Verify Dashboard screen","","Wed Apr 09 15:44:52 ICT 2025","passed","Wed Apr 09 15:46:38 ICT 2025","","Dashboard-ExistingStudy-NewParticipant - @Regression @R1.0 @Dashboard @Debug","",""
"","52505","[R1.0]Auto - Mobile - Learn - Verify Learn screen","","Wed Apr 09 15:44:57 ICT 2025","passed","Wed Apr 09 15:45:49 ICT 2025","","Learn-ExistingStudy-NewParticipant - @Regression @R1.0 @Learn @Debug","",""
"","51900","[R1.0]Auto - Web - Profile - Verify Profile interface","","Wed Apr 09 15:49:31 ICT 2025","passed","Wed Apr 09 15:50:23 ICT 2025","","Profile-ExistingStudy-NewParticipant - @Regression @R1.0 @Profile","",""
